hotelId,Hotel_name,Address,City,Latitude,Longitude,Property_type,Room_status,Price,Currency,Rating,Final_rating
OIQGSRYU,Premium 236 Malviya Nagar Metro,Malviya Nagar,Unknown,,,hotel,,3349,INR,429,2.7
OIHPLSYM,Homes 678 Jangpura Birbal Road,Jangpura Extension,Unknown,,,hotel,,3349,INR,1457,5.0
OIKHKOAJ,Apartments 561 Ramphal Chowk,"Palam Extension, Sector 7, Near Gold's Gym",Unknown,,,hotel,,3449,INR,1144,5.0
OINCBQSF,Rooms 038 Jamia River View,Jamia Nagar,Unknown,,,hotel,,3249,INR,74,1.3
OIEPCXIM,Premium 483 Lajpat Nagar Ring Road 2,Ring Road,Unknown,,,hotel,,3299,INR,2664,5.0
OIVWGVGE,Homes 382 Pitampura Metro Station,Road no 44,Unknown,,,hotel,,3149,INR,207,1.8
OIRWARMN,Premium 123 Hauz Khas,Safdarjung Enclave,Unknown,,,hotel,,2999,INR,562,3.2
OIZWVRTC,Rooms 115 Main Bazar Paharganj,Near Imperial Cinema,Unknown,,,hotel,,2749,INR,709,3.8
OIHZMHRY,Rooms 296 Railway Station Paharganj 2,Paharganj,Unknown,,,hotel,,2399,INR,1086,5.0
OIUCSVLL,Homes 375 South Extension 1 H Block,South Extension - 1,Unknown,,,hotel,,2749,INR,1320,5.0
OILXAJJP,Rooms 297 PVR Saket,Saket,Unknown,,,hotel,,1699,INR,2881,5.0
OIKYDXYH,Rooms 065 Janakpuri,"Pankha Road,Dabri Mor",Unknown,,,hotel,,6849,INR,140,1.6
OIAVQPAT,Rooms 136 Karol Bagh 5/25,Karolbagh,Unknown,,,hotel,,1999,INR,7,1.0
OIIRQQTY,Rooms 396 Nirman Vihar Metro,Near Nirman Vihar Metro Station,Unknown,,,hotel,,1549,INR,141,1.6
OIUSZKOH,Rooms 268 Gali Hari Mandir Paharganj,Paharganj,Unknown,,,hotel,,3549,INR,141,1.6
OIRHRYQM,Rooms 277,Karol Bagh,Unknown,,,hotel,,1099,INR,34,1.1
OIEESUMU,Premium 672 Paharganj Police Station,"Street No.1, Multani Dhanda, Paharganj",Unknown,,,hotel,,3999,INR,35,1.1
OIDUEYPQ,Rooms 043 Nehru Place Extension,Jasola,Unknown,,,hotel,,3299,INR,428,2.7
OIJRAEYV,Rooms 683,Kapashera,Delhi,,,hotel,,3749,INR,394,2.6
OIQFNYBX,Rooms 596 Main Bazaar Paharganj Gali No 1,"Main Bazar, 6 Tooti Chowk",Unknown,,,hotel,,2549,INR,621,3.5
OIUOESIM,Rooms 609 Paharganj,"Ram Nagar, Street No.1",Unknown,,,hotel,,3849,INR,158,1.6
OIGGROCC,Rooms 266 7A/36 Channa Market Karol Bagh,Karol Bagh,Unknown,,,hotel,,3249,INR,42,1.2
OILIIPQN,Rooms 173 Paharganj Qutub Road,Ram Nagar,Unknown,,,hotel,,3749,INR,61,1.2
OISSHPHU,Rooms 173 Paharganj Qutub Road,Ram Nagar,Unknown,,,hotel,,5099,INR,8,1.0
OITZYLCN,Rooms 578 Karol Bagh 16/7 Arya Samaj Road,"Arya Samaj Road, Opposite Satbhrawan School",Unknown,,,hotel,,3499,INR,80,1.3
OIEUTPDW,Rooms 230,Paharganj,Unknown,,,hotel,,2949,INR,343,2.4
OIFXZBEZ,Rooms 626 DB Gupta NDLS,"Near Gate No 1, Opposite Sheila Cinema",Unknown,,,hotel,,3949,INR,5,1.0
OINHLJBZ,Rooms 451 Gali No 3 Ram Nagar Paharganj,"Saran Building, Gali No. 3",Unknown,,,hotel,,4749,INR,334,2.3
OIBNLBOO,Flagship 497 Green Park,"B Block, Safdarjung Enclave",Unknown,,,hotel,,2299,INR,55,1.2
OISHUPDQ,Flagship 500 New Friends Colony,"Plot no. A-44, A Block, New Friends Colony, Delhi",Delhi,,,hotel,,3399,INR,195,1.8
OIFVQKDP,Flagship 494 East of Kailash,"Plot no. E-301, E Block, East of Kailash, Delhi",Delhi,,,hotel,,3349,INR,209,1.8
OILNMKCS,Flagship 512 Safdarjung Enclave,"B Block, Safdurjung Enclave",Unknown,,,hotel,,3499,INR,74,1.3
OISAJWTC,Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",Unknown,,,hotel,,1899,INR,245,2.0
OIDOLFZF,Premium 526 Wazirpur Industrial Area,"Phase 2, Ashok Vihar, New Delhi",Delhi,,,hotel,,3399,INR,260,2.0
OIJYPJMM,Rooms 610 Green Park Extension,Hauz Khas Village,Unknown,,,hotel,,4499,INR,604,3.4
OIOGRLMP,Rooms 606 New Friends Colony 1,New Friends Colony,Unknown,,,hotel,,3199,INR,3,1.0
OIZEMSRX,Rooms 699 North Campus,"Phase 2, Ashok Vihar",Unknown,,,hotel,,3399,INR,6,1.0
OIRMVUZM,Premium 538 Hauz Khas Metro,"S Block, Panchsheel Park",Unknown,,,hotel,,4499,INR,7,1.0
